Store Name,Store Type,City,State,Latitude,Longitude
Roswell Exxon  ,Convenience Store,Atlanta,GA,33.98193,-84.34961
Roswell Food Mart  ,Convenience Store,Atlanta,GA,33.89031,-84.38166
Sam's Supermarket  ,Convenience Store,Atlanta,GA,33.65076,-84.59428
SANDY SPRINGS CHEVRON  ,Convenience Store,Atlanta,GA,33.91054,-84.37882
Sawaneh Imports Llc  ,Large Grocery Store,Atlanta,GA,33.60699,-84.47195
SH Produce  ,Fruits/Veg Specialty,Atlanta,GA,33.75405,-84.37988
Shahrzad  ,Medium Grocery Store,Atlanta,GA,33.93076,-84.3791
Shell East Point  ,Convenience Store,Atlanta,GA,33.68335,-84.44067
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.65905,-84.43298
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.77388,-84.37123
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.91544,-84.37933
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.62195,-84.50497
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.80648,-84.39397
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.80353,-84.41458
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.68711,-84.40864
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.81013,-84.43824
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.69621,-84.53568
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.62209,-84.47501
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.87786,-84.37942
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.61684,-84.47221
Shell Food Mart  ,Convenience Store,Atlanta,GA,33.80671,-84.41317
Shoppers Supermarket  ,Convenience Store,Atlanta,GA,33.76349,-84.4115
Simply Produce Llc  ,Delivery Route,Atlanta,GA,33.63153,-84.50667
Sky Mart  ,Convenience Store,Atlanta,GA,33.65083,-84.48985
SOUTHEASTERN MEATS  & FISH  ,Large Grocery Store,Atlanta,GA,33.77238,-84.44112
Speedzone Chevron  ,Convenience Store,Atlanta,GA,33.75117,-84.4437
Speedzone Shell  ,Convenience Store,Atlanta,GA,33.75114,-84.44358
Sprouts Farmers Market 519,Supermarket,Atlanta,GA,33.80624,-84.36688
Sr Food & Meat Mart  ,Convenience Store,Atlanta,GA,33.77602,-84.46847
Star Chevron Food Mart  ,Convenience Store,Atlanta,GA,33.78739,-84.49453
Stop N Shop Food Mart #2 1,Convenience Store,Atlanta,GA,33.66594,-84.44553
Super Giant Mart  ,Supermarket,Atlanta,GA,33.60087,-84.42724
Supermercado Santa Fe  ,Medium Grocery Store,Atlanta,GA,33.91103,-84.38123
Sure Save Food & Beauty  ,Medium Grocery Store,Atlanta,GA,33.66631,-84.46544
Sweet Auburn Grocery  ,Convenience Store,Atlanta,GA,33.75558,-84.38109
Sylvan Station Inc  ,Convenience Store,Atlanta,GA,33.69783,-84.42385
Tanner's Corner Grocery 0,Convenience Store,Atlanta,GA,33.70938,-84.35945
Target 2333,Super Store,Atlanta,GA,33.90618,-84.3802
Target Store T-1964,Super Store,Atlanta,GA,33.75676,-84.34609
Target Store 1197,Super Store,Atlanta,GA,33.85157,-84.3587
Target Store T-2137  ,Super Store,Atlanta,GA,33.79319,-84.39929
TARGET STORE T-2171  ,Super Store,Atlanta,GA,33.82449,-84.3631
Tech Shop & Run  ,Convenience Store,Atlanta,GA,33.77381,-84.40576
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.75556,-84.46809
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.74683,-84.34959
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.99661,-84.34954
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.75397,-84.4761
Texaco Food Mart  ,Convenience Store,Atlanta,GA,33.75275,-84.34969
Texaco Foodmart  ,Convenience Store,Atlanta,GA,33.65384,-84.49296
The Fresh Market 061,Supermarket,Atlanta,GA,33.81193,-84.3922
The Fresh Market 084,Supermarket,Atlanta,GA,33.87534,-84.38002
The MARTA Markets  ,Delivery Route,Atlanta,GA,33.77525,-84.41881
Tienda Y Carniceria El Ejido  ,Convenience Store,Atlanta,GA,33.6696,-84.44422
Tienda Y Carniceria Santacruz  ,Medium Grocery Store,Atlanta,GA,33.65533,-84.40279
Trader Joe's 730,Supermarket,Atlanta,GA,33.77993,-84.36763
Trader Joe's 735,Supermarket,Atlanta,GA,33.84133,-84.37505
Triple S 2022 Investment LLC  ,Convenience Store,Atlanta,GA,33.58844,-84.46948
University Bp Food Mart  ,Convenience Store,Atlanta,GA,33.72194,-84.39264
Uptown Station Inc  ,Convenience Store,Atlanta,GA,33.79609,-84.3877
Valero Food Mart  ,Convenience Store,Atlanta,GA,33.6188,-84.47247
Valero Food Mart  ,Convenience Store,Atlanta,GA,33.68972,-84.50764
Verbena Grocery Mart  ,Convenience Store,Atlanta,GA,33.75549,-84.45998
Villa Food Mart  ,Convenience Store,Atlanta,GA,33.70752,-84.45605
Virginia Highland Farmers Market  ,Farmers' Market,Atlanta,GA,33.78247,-84.35427
Vp Food Mart  ,Convenience Store,Atlanta,GA,33.68786,-84.40889
Walgreens 11796,Combination Grocery/Other,Atlanta,GA,33.91897,-84.35184
Walgreens 17037,Combination Grocery/Other,Atlanta,GA,33.81024,-84.41275
WALGREENS  6032,Combination Grocery/Other,Atlanta,GA,33.77022,-84.38188
Walgreens 07394,Combination Grocery/Other,Atlanta,GA,33.72318,-84.51056
Walgreens 19047,Combination Grocery/Other,Atlanta,GA,33.81977,-84.38654
Walgreens 9620,Combination Grocery/Other,Atlanta,GA,33.65703,-84.51153
Walgreens 10422,Combination Grocery/Other,Atlanta,GA,33.85471,-84.38271
Walgreens 6204,Combination Grocery/Other,Atlanta,GA,33.96015,-84.36555
Walgreens 09303,Combination Grocery/Other,Atlanta,GA,33.83373,-84.38307
Walgreens 10265,Combination Grocery/Other,Atlanta,GA,33.87852,-84.37975
Walgreens 11488,Combination Grocery/Other,Atlanta,GA,33.68057,-84.40816
Walmart 7601,Super Store,Atlanta,GA,33.75539,-84.41409
Walmart Supercenter 3741,Super Store,Atlanta,GA,33.7254,-84.50507
Walton Food Mart  ,Convenience Store,Atlanta,GA,33.75622,-84.39068
Washington Food Mart  ,Convenience Store,Atlanta,GA,33.64957,-84.49024
Washington Seafood Market  ,Seafood Specialty,Atlanta,GA,33.67583,-84.4463
Wayfield Foods 19,Super Store,Atlanta,GA,33.75114,-84.48612
Welcome Foods Mcdaniel  ,Convenience Store,Atlanta,GA,33.72757,-84.40193
West End Farmers Market ATL  ,Farmers' Market,Atlanta,GA,33.93309,-84.35247
West View Food Mart  ,Convenience Store,Atlanta,GA,33.75031,-84.45365
Westlake Food Mart  ,Convenience Store,Atlanta,GA,33.77327,-84.44224
Westside Farmers Market  ,Farmers' Market,Atlanta,GA,33.69655,-84.51678
Westview Corner Grocery  ,Medium Grocery Store,Atlanta,GA,33.74369,-84.43861
Whitehall Exxon  ,Convenience Store,Atlanta,GA,33.74176,-84.4086
Whitehall Shell  ,Convenience Store,Atlanta,GA,33.7434,-84.40335
Whole Foods 10650,Super Store,Atlanta,GA,33.78659,-84.38795
WHOLE FOODS MARKET 10136,Super Store,Atlanta,GA,33.91789,-84.38078
Whole Foods Market 10206,Super Store,Atlanta,GA,33.83999,-84.38129
Whole Foods Market 10697,Super Store,Atlanta,GA,33.85077,-84.43035
Windsor Supermarket  ,Convenience Store,Atlanta,GA,33.74109,-84.39793
Wk Business Merchandising Llc  ,Convenience Store,Atlanta,GA,33.79082,-84.49673
ZTS Food Mart  ,Convenience Store,Atlanta,GA,33.75118,-84.48832
EL RANCHO MARKET  ,Convenience Store,Atlanta,GA,33.9286,-84.23786
Exxon Buford  ,Convenience Store,Atlanta,GA,33.92116,-84.25401
La Confianza #2  ,Medium Grocery Store,Atlanta,GA,33.94063,-84.26941
Raceway 6920 6920,Convenience Store,Atlanta,GA,33.91793,-84.2572
The Little Farm Grocery Store  ,Convenience Store,Atlanta,GA,33.92926,-84.23509
