lon_round,lat_round,longitude,latitude,names,categories,sources,n_sources
-84.48804,33.6892,-84.4880431,33.6892022,Kroger Headland Dr,Grocery Store,gdf_selected,1
-84.48674,33.68958,-84.48674,33.68958,Dollar General 19080,Combination Grocery/Other,snap_atlanta_df,1
-84.48612,33.75114,-84.48612,33.75114,Family Dollar 634 | Wayfield Foods 19,Combination Grocery/Other | Super Store,snap_atlanta_df,1
-84.48599,33.75081,-84.48599317973249,33.75080567514819,Wayfield Foods,Grocery Store,gdf_selected,1
-84.48584,33.69634,-84.48584,33.69634,CITGO FOOD MART  ,Convenience Store,snap_atlanta_df,1
-84.48514,33.69725,-84.48514,33.69725,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.48479,33.84093,-84.48479,33.84093,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.48433,33.6901,-84.48433,33.6901,Family Dollar 11892,Combination Grocery/Other,snap_atlanta_df,1
-84.48365,33.69794,-84.48365,33.69794,Big H Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.48164,33.6517,-84.48164,33.6517,Big A Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.48138,33.754,-84.48138,33.754,MLK Coin & Market  ,Convenience Store,snap_atlanta_df,1
-84.48098,33.58604,-84.48098,33.58604,Neighborhood Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.48034,33.83783,-84.48034,33.83783,Bengal Green Enterprises  ,Convenience Store,snap_atlanta_df,1
-84.47997,33.77928,-84.47997,33.77928,Hop In Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47741,33.77735,-84.47741,33.77735,Dollar General 22316,Combination Grocery/Other,snap_atlanta_df,1
-84.47679,33.86478,-84.47679,33.86478,Walgreen 19823,Combination Grocery/Other,snap_atlanta_df,1
-84.4761,33.75397,-84.4761,33.75397,Texaco Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47598,33.81194,-84.47598,33.81194,Busy Bee Grocery  ,Convenience Store,snap_atlanta_df,1
-84.47577,33.8115,-84.47577,33.8115,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47568,33.81047,-84.47568,33.81047,Family Dollar 10676,Combination Grocery/Other,snap_atlanta_df,1
-84.47541,33.70248,-84.47541,33.70248,Camp Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47536,33.77731,-84.47536,33.77731,Citgo Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47507,33.77774,-84.47506769999998,33.7777367,Buy Low Super Market,Grocery Store,gdf_selected,1
-84.47501,33.62209,-84.47501,33.62209,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47471,33.62273,-84.47471,33.62273,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.4747,33.77853,-84.4747,33.77853,Low Low Mini Mart  ,Convenience Store,snap_atlanta_df,1
-84.4744,33.88206,-84.4744,33.88206,Bharath Bazaar  ,Medium Grocery Store,snap_atlanta_df,1
-84.47409,33.77737,-84.47409,33.77737,BUY LOW SUPERMARKET  ,Supermarket,snap_atlanta_df,1
-84.47403,33.77619,-84.47403,33.77619,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47378,33.75378,-84.47378,33.75378,Dollar Tree 5779,Combination Grocery/Other,snap_atlanta_df,1
-84.47293,33.62835,-84.47293,33.62835,Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47273,33.77617,-84.47273,33.77617,Pick N Pay  ,Convenience Store,snap_atlanta_df,1
-84.47272,33.6149,-84.47272,33.6149,Kansato Mart  ,Medium Grocery Store,snap_atlanta_df,1
-84.4726,33.75359,-84.4726,33.75359,Mlk Westland Bp Inc.  ,Convenience Store,snap_atlanta_df,1
-84.47247,33.6188,-84.47247,33.6188,Valero Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47221,33.61684,-84.47221,33.61684,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47213,33.78966,-84.4721251,33.7896593,Rolling Bends aka Woodland Heights (lihtc),Garden,gdf_selected,1
-84.47205,33.58253,-84.47205,33.58253,Family Dollar 8385,Combination Grocery/Other,snap_atlanta_df,1
-84.47195,33.60699,-84.47195,33.60699,Sawaneh Imports Llc  ,Large Grocery Store,snap_atlanta_df,1
-84.47195,33.77605,-84.47194789999989,33.776047,Grocery Spot,Grocery Store,gdf_selected,1
-84.47188,33.81115,-84.471880674582,33.811153710732,Frazie's Meat & Market,Grocery Store,df_grocery_selected,1
-84.47171,33.77589,-84.47171359999999,33.77589069999999,Discount Meat World,Neighborhood Market,gdf_selected,1
-84.47157,33.88563,-84.47157,33.88563,JP Cobb Parkway 212,Convenience Store,snap_atlanta_df,1
-84.47136,33.65088,-84.47136,33.65088,Bp Food Mart  ,Convenience Store,snap_atlanta_df,1
-84.47122,33.8806,-84.47122,33.8806,Costco Wholesale 0631,Super Store,snap_atlanta_df,1
-84.47103,33.80549,-84.47103,33.80549,Hollywood 76  ,Convenience Store,snap_atlanta_df,1
